amount0,amount1,amountUSD,id,sqrtPriceX96,tick,timestamp,timestamp_1,liquidity,token0Price,token1Price,sqrtPrice,open,close,datetime
-118065.2145,37.33808756,118248.9773,0xb36f999b97e52d47ddc72bab4ec6f891aa7f79f704e1adc41650af6dd9928956#162339,1.4069E+33,195701,1628553600,10-08-2021 00:00,2.02447E+19,3117.527427,0.000320767,1.41897E+33,3171.244717,3117.527427,10-08-2021 05:30
-530141.0332,167.7523117,531062.3326,0x45ae2c3e0086dd0b313067db695e1e7c74e865ce556278bebf41f1093101e407#162340,1.40756E+33,195710,1628553637,10-08-2021 00:00,2.02447E+19,3117.527427,0.000320767,1.41897E+33,3171.244717,3117.527427,10-08-2021 05:30
-252647.2537,80,253055.4641,0x38f3de7ea0aba244b8ebef2291ef1d1b2dd804f4fea4a3ac6fe8960e0aa8f58e#162341,1.40787E+33,195714,1628553672,10-08-2021 00:01,2.02447E+19,3117.527427,0.000320767,1.41897E+33,3171.244717,3117.527427,10-08-2021 05:31
-371130.4518,117.5816663,371749.3936,0x57305839bc6c36e1149dd24844c9ce4ce6dea331eed1998494652cfd9bb66edf#162342,1.40833E+33,195721,1628553689,10-08-2021 00:01,2.02447E+19,3117.527427,0.000320767,1.41897E+33,3171.244717,3117.527427,10-08-2021 05:31
-1000,0.316922705,1001.504942,0xe60d003c1760e67361ae5cd0a38daf9f520609ba6fbab05e203f1d266dbc87de#162343,1.40833E+33,195721,1628553701,10-08-2021 00:01,2.02447E+19,3117.527427,0.000320767,1.41897E+33,3171.244717,3117.527427,10-08-2021 05:31
-473234.868,150.0396375,474042.8064,0xdecb651f9a8316f09f139f7f76cdbe7eb868b6875ae3959a891714dbdcd6c960#162344,1.4089E+33,195729,1628553747,10-08-2021 00:02,2.02447E+19,3117.527427,0.000320767,1.41897E+33,3171.244717,3117.527427,10-08-2021 05:32
-132924.5,42.16568619,133132.0576,0xc5bb1da78df15467d24fc3a1f5581358c89da576e20d2fa2cfef21c2a4d34ec7#162345,1.40906E+33,195731,1628553756,10-08-2021 00:02,2.02447E+19,3117.527427,0.000320767,1.41897E+33,3171.244717,3117.527427,10-08-2021 05:32
-10401.75504,3.3,10417.45099,0x13b9be2adbde411c0744b8301e1acbfa82c88774d5e1db58f3a700d1e40cc1e5#162346,1.40907E+33,195731,1628553831,10-08-2021 00:03,2.02447E+19,3117.527427,0.000320767,1.41897E+33,3171.244717,3117.527427,10-08-2021 05:33
1000000,-315.0872091,998074.654,0xdfd756a7fcd9d5be631401a3bdc81ea88340ce09532c24044e33d3b1e3356061#162347,1.40786E+33,195714,1628553905,10-08-2021 00:05,2.02447E+19,3117.527427,0.000320767,1.41897E+33,3171.244717,3117.527427,10-08-2021 05:35
445113.874,-140.0740478,444359.8016,0x711d5d73e5156d87e35bd0f612d792b10ce62705c685656e0dc7a113e0555410#162348,1.40731E+33,195707,1628553936,10-08-2021 00:05,2.02447E+19,3117.527427,0.000320767,1.41897E+33,3171.244717,3117.527427,10-08-2021 05:35
763818.8446,-239.5997809,762419.1336,0x34ef280dc1cee764b8d456eb16e30d3b167087085c416028bac8f60ddf7f844a#162350,1.40487E+33,195672,1628553971,10-08-2021 00:06,2.02447E+19,3117.527427,0.000320767,1.41897E+33,3171.244717,3117.527427,10-08-2021 05:36
1226649.604,-385.4536321,1224154.157,0xfe3a71fce7f0cb1b3239ffcb4d0fdb483bcfd1758439db6d08b9fc1525177090#162349,1.4058E+33,195685,1628553971,10-08-2021 00:06,2.02447E+19,3117.527427,0.000320767,1.41897E+33,3171.244717,3117.527427,10-08-2021 05:36
390357.6162,-122.3265972,389705.7664,0xa09f3d36cec9ef8da19d0031954d29067ee9b91782ecf3ba92c339697d162a15#162351,1.40439E+33,195665,1628553979,10-08-2021 00:06,2.02447E+19,3117.527427,0.000320767,1.41897E+33,3171.244717,3117.527427,10-08-2021 05:36
304448.5525,-95.34736942,303951.5535,0x103c82833214748d16630afb262adbe7daef08728183824528188d9693fa3e8f#162352,1.40401E+33,195660,1628554022,10-08-2021 00:07,2.02447E+19,3117.527427,0.000320767,1.41897E+33,3171.244717,3117.527427,10-08-2021 05:37
225559.4553,-70.60803126,225198.7683,0x6b1667d604f68b80ca745cf4e19bb22dfe2cc3c9064e43aebe24a03c1b70e3f8#162353,1.40374E+33,195656,1628554038,10-08-2021 00:07,2.02447E+19,3117.527427,0.000320767,1.41897E+33,3171.244717,3117.527427,10-08-2021 05:37
177528.3938,-55.55287959,177248.2546,0xea4ff623151eb34d5cb0348b0e0970a65f218766e54ef7f20ab16a4a5dff1133#162354,1.40352E+33,195652,1628554038,10-08-2021 00:07,2.02447E+19,3117.527427,0.000320767,1.41897E+33,3171.244717,3117.527427,10-08-2021 05:37
275319.6844,-86.11973598,274873.41,0x9fce5afeff640498b0ab86822080f1f9a69f2ca4013fb6a7c5a3044412b57729#162355,1.40318E+33,195648,1628554071,10-08-2021 00:07,2.02447E+19,3117.527427,0.000320767,1.41897E+33,3171.244717,3117.527427,10-08-2021 05:37
