token0Price,token1Price,datetime,,,,,,,,,
3128.776817,0.000319614,10-08-2021 07:04,,,,,,,,,
3128.776817,0.000319614,10-08-2021 07:04,,,,,,,,,
3128.776817,0.000319614,10-08-2021 07:04,,,,,,,,,
3128.776817,0.000319614,10-08-2021 07:05,,,,,,,,,
3128.776817,0.000319614,10-08-2021 07:05,,,,,,,,,
3128.776817,0.000319614,10-08-2021 07:09,,,,,,,,,
3128.776817,0.000319614,10-08-2021 07:09,,,,,,,,,
3128.776817,0.000319614,10-08-2021 07:09,,,,,,,,,
3128.776817,0.000319614,10-08-2021 07:09,,,,,,,,,
3128.776817,0.000319614,10-08-2021 07:10,,,,,,,,,
3128.776817,0.000319614,10-08-2021 07:11,,,,,,,,,
3128.776817,0.000319614,10-08-2021 07:15,,,,,,,,,
3128.776817,0.000319614,10-08-2021 07:19,,,,,,,,,
3134.085038,0.000319072,10-08-2021 08:01,,,,,,,,,
3134.085038,0.000319072,10-08-2021 08:03,,,,,,,,,
3134.085038,0.000319072,10-08-2021 08:20,,,,,,,,,
3134.085038,0.000319072,10-08-2021 08:21,,,,,,,,,
3134.085038,0.000319072,10-08-2021 08:22,,,,,,,,,
3134.085038,0.000319072,10-08-2021 08:24,,,,,,,,,
3134.085038,0.000319072,10-08-2021 08:24,,,,,,,,,
3134.085038,0.000319072,10-08-2021 08:25,,,,,,,,,
3134.085038,0.000319072,10-08-2021 08:25,,,,,,,,,
3134.085038,0.000319072,10-08-2021 08:25,,,,,,,,,
3134.085038,0.000319072,10-08-2021 08:27,,,,,,,,,
3116.437525,0.000320879,10-08-2021 08:30,,,,,,,,,
3116.437525,0.000320879,10-08-2021 08:32,,,,,,,,,
3116.437525,0.000320879,10-08-2021 08:33,,,,,,,,,
3116.437525,0.000320879,10-08-2021 08:49,,,,,,,,,
3116.437525,0.000320879,10-08-2021 08:50,,,,,,,,,
3116.437525,0.000320879,10-08-2021 08:50,,,,,,,,,
3116.437525,0.000320879,10-08-2021 08:51,,,,,,,,,
3116.437525,0.000320879,10-08-2021 08:54,,,,,,,,,
3116.437525,0.000320879,10-08-2021 08:57,,,,,,,,,
3116.437525,0.000320879,10-08-2021 08:57,,,,,,,,,
3116.437525,0.000320879,10-08-2021 08:59,,,,,,,,,
3116.437525,0.000320879,10-08-2021 09:00,,,,,,,,,
3116.437525,0.000320879,10-08-2021 09:00,,,,,,,,,
3116.437525,0.000320879,10-08-2021 09:01,,,,,,,,,
3116.437525,0.000320879,10-08-2021 09:06,,,,,,,,,
3116.437525,0.000320879,10-08-2021 09:06,,,,,,,,,
3116.437525,0.000320879,10-08-2021 09:07,,,,,,,,,
3116.437525,0.000320879,10-08-2021 09:21,,,,,,,,,
3116.437525,0.000320879,10-08-2021 09:26,,,,,,,,,
3116.437525,0.000320879,10-08-2021 09:27,,,,,,,,,
